Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Naive Bayes,0.9975,0.9989,0.9975,0.9975,0.9975,0.9966,0.9966,0.024
Extra Trees Classifier,0.9136,0.9996,0.9136,0.9298,0.9127,0.8837,0.8895,0.053
Light Gradient Boosting Machine,0.8485,0.9625,0.8485,0.9023,0.852,0.7938,0.813,156.202
Gradient Boosting Classifier,0.8273,0.0,0.8273,0.893,0.8312,0.7641,0.7878,0.093
Quadratic Discriminant Analysis,0.8245,0.0,0.8245,0.8785,0.7987,0.7631,0.795,0.022
Linear Discriminant Analysis,0.8197,0.0,0.8197,0.8714,0.8112,0.7576,0.7769,0.019
Random Forest Classifier,0.8048,0.9959,0.8048,0.8844,0.8104,0.7335,0.7625,0.063
Decision Tree Classifier,0.7535,0.826,0.7535,0.8678,0.759,0.663,0.7065,0.026
Logistic Regression,0.7422,0.0,0.7422,0.8288,0.744,0.6491,0.6801,0.513
Ada Boost Classifier,0.662,0.0,0.662,0.6485,0.6151,0.5321,0.5918,0.041
K Neighbors Classifier,0.5533,0.7859,0.5533,0.5681,0.5543,0.4018,0.4047,0.207
Ridge Classifier,0.5431,0.0,0.5431,0.4515,0.4475,0.3791,0.4199,0.025
Dummy Classifier,0.2879,0.5,0.2879,0.0829,0.1287,0.0,0.0,0.041
SVM - Linear Kernel,0.284,0.0,0.284,0.0928,0.1354,0.013,0.0196,0.027
