model,status,smape,mae,rmse,mape,error
NaiveSeasonal,ok,26.171891813100856,47.38627586206896,53.30434698583415,22.604798602352826,
Theta,ok,,,,,
NaiveDrift,ok,26.171891813100856,47.38627586206896,53.30434698583415,22.604798602352826,
AutoARIMA,failed,,,,,Input y contains NaN.
ARIMA_101,ok,27.217628616343436,49.010597720056396,55.194405637381436,23.36863581155551,
ARIMA_111,ok,26.172226497718306,47.386795500347645,53.304854145028905,22.605055172059355,
ARIMA_212,ok,26.173788998103092,47.38922160151434,53.307227482087676,22.606252170164176,
ExponentialSmoothing,ok,,,,,
ExponentialSmoothing_Add,failed,,,,,'str' object has no attribute 'value'
ExponentialSmoothing_Mul,failed,,,,,'str' object has no attribute 'value'
Holt,failed,,,,,'str' object has no attribute 'value'
HoltWinters,failed,,,,,'str' object has no attribute 'value'
StatsForecast_AutoARIMA,ok,17.931060400599943,33.83613075374899,37.64771276308257,16.246979931379144,
StatsForecast_AutoETS,failed,,,,,This function does not handle missing values
StatsForecast_AutoCES,failed,,,,,This function does not handle missing values
Croston,ok,26.335725160362166,47.64041604033453,53.55148818339066,22.730451642375296,
FFT,ok,114.41485607826343,144.75185773158682,148.03503461500256,72.20697960957142,
KalmanForecaster,failed,,,,,Output data cannot contain nulls
RandomForest,ok,26.172324201856735,47.38694697441533,53.30499705743207,22.605130144559645,
RandomForest_Light,ok,26.174124291221208,47.389740683496754,53.307704718962434,22.606510103116563,
LightGBM,ok,26.261938873704274,47.52596061515629,53.44029643144082,22.673795035016436,
LightGBM_Fast,ok,26.784104036357416,48.333077634450476,54.22841813568727,23.07282064190559,
XGBoost,ok,26.22081770239627,47.46221651204427,53.378435336498896,22.642291215353772,
XGBoost_Light,ok,26.31017530585256,47.600809777972344,53.51344918246514,22.710830068068507,
NBEATS_Tiny,ok,,,,,
LSTM_Small,ok,,,,,
GRU_Small,ok,,,,,
NBEATS_Medium,ok,,,,,
LSTM_Medium,ok,,,,,
Transformer_Small,ok,,,,,
TCN_Small,ok,,,,,
