series,model,status,smape,mae,rmse,mape,error
Open,VARIMA,failed,,,,,Model `VARIMA` only supports multivariate TimeSeries instances
Open,NaiveSeasonal,ok,22.499362620211507,42.16246013667426,47.74637428064678,19.830394986775723,
Open,NaiveDrift,ok,20.92506830317675,39.5679271070615,45.16400632107816,18.591936684636142,
Open,Theta,ok,,,,,
Open,ExponentialSmoothing,ok,,,,,
Open,Holt,failed,,,,,'str' object has no attribute 'value'
Open,RandomForest,ok,22.834487436802906,42.71400159453308,48.26317068303296,20.094839162765737,
Open,LightGBM,ok,23.566917634471075,43.91567527581307,49.48484028105193,20.659898311199665,
Open,NBEATS,ok,,,,,
Open,LSTM,ok,,,,,
High,VARIMA,failed,,,,,Model `VARIMA` only supports multivariate TimeSeries instances
High,NaiveSeasonal,ok,22.638188147940628,42.854646924829154,48.690429150792895,19.884168940057315,
High,NaiveDrift,ok,20.63191463920067,39.51264236902049,45.36698273329914,18.29902650378269,
High,Theta,ok,,,,,
High,ExponentialSmoothing,ok,,,,,
High,Holt,failed,,,,,'str' object has no attribute 'value'
High,RandomForest,ok,22.953485003492034,43.37800136674264,49.18894614698724,20.132447930098355,
High,LightGBM,ok,23.735975998888524,44.666720775685384,50.45178295092963,20.745974017404674,
High,NBEATS,ok,,,,,
High,LSTM,ok,,,,,
Low,VARIMA,failed,,,,,Model `VARIMA` only supports multivariate TimeSeries instances
Low,NaiveSeasonal,ok,22.12005211039076,41.05205011389521,46.624220638139306,19.560181908775157,
Low,NaiveDrift,ok,20.259040827145565,37.99560364464693,43.526516425260255,18.1052101648408,
Low,Theta,ok,,,,,
Low,ExponentialSmoothing,ok,,,,,
Low,Holt,failed,,,,,'str' object has no attribute 'value'
Low,RandomForest,ok,22.40137965813794,41.51393895216396,47.05807918452849,19.78062000913677,
Low,LightGBM,ok,23.072927628947404,42.60830084296307,48.158327255921385,20.30052754459986,
Low,NBEATS,ok,,,,,
Low,LSTM,ok,,,,,
Close,VARIMA,failed,,,,,Model `VARIMA` only supports multivariate TimeSeries instances
Close,NaiveSeasonal,ok,22.429260166025472,42.0580410022779,47.79828956823876,19.759327407037333,
Close,NaiveDrift,ok,20.004613163042315,38.03439635535309,43.72381672469758,17.855047467979528,
Close,Theta,ok,,,,,
Close,ExponentialSmoothing,ok,,,,,
Close,Holt,failed,,,,,'str' object has no attribute 'value'
Close,RandomForest,ok,22.73196620102382,42.55882961275613,48.262975114564775,19.99808401002145,
Close,LightGBM,ok,23.455949294963425,43.74481354012062,49.420521281973144,20.56484223070047,
Close,NBEATS,ok,,,,,
Close,LSTM,ok,,,,,
Volume,VARIMA,failed,,,,,Model `VARIMA` only supports multivariate TimeSeries instances
Volume,NaiveSeasonal,ok,44.82004902948742,15521721.255125284,22154507.007071324,34.97412496900709,
Volume,NaiveDrift,ok,39.53641488483765,14230301.369020501,20921810.20233393,31.88953899577538,
Volume,Theta,ok,,,,,
Volume,ExponentialSmoothing,ok,,,,,
Volume,Holt,failed,,,,,'str' object has no attribute 'value'
Volume,RandomForest,ok,31.820841725742838,12030500.874441914,18495832.91951775,28.13715040204451,
Volume,LightGBM,ok,33.52743536393457,12465535.549500117,18320374.242446337,31.630104580220006,
Volume,NBEATS,ok,,,,,
Volume,LSTM,ok,,,,,
Volume_log,VARIMA,failed,,,,,Model `VARIMA` only supports multivariate TimeSeries instances
Volume_log,NaiveSeasonal,ok,2.7404773436188057,0.4726379482901573,0.5929108349978397,2.6870004270818915,
Volume_log,NaiveDrift,ok,2.393716158276029,0.41398537713521294,0.5318524162337467,2.3528192382285185,
Volume_log,Theta,ok,,,,,
Volume_log,ExponentialSmoothing,ok,,,,,
Volume_log,Holt,failed,,,,,'str' object has no attribute 'value'
Volume_log,RandomForest,ok,1.9942434816504657,0.3458173563105598,0.4568645678215636,1.9722263063151408,
Volume_log,LightGBM,ok,2.0226735186379012,0.3506024031372586,0.4622848608586163,2.0028133244863464,
Volume_log,NBEATS,ok,,,,,
Volume_log,LSTM,ok,,,,,
Volume_sqrt,VARIMA,failed,,,,,Model `VARIMA` only supports multivariate TimeSeries instances
Volume_sqrt,NaiveSeasonal,ok,23.29959133129214,1334.1059555335014,1769.9516151857226,20.083373005426804,
Volume_sqrt,NaiveDrift,ok,20.448382713503456,1196.478253802543,1631.2666294603791,17.952162673146386,
Volume_sqrt,Theta,ok,,,,,
Volume_sqrt,ExponentialSmoothing,ok,,,,,
Volume_sqrt,Holt,failed,,,,,'str' object has no attribute 'value'
Volume_sqrt,RandomForest,ok,18.036741351789082,1071.54642195333,1481.0212639826605,16.505960620058865,
Volume_sqrt,LightGBM,ok,17.06017525358237,1021.0084075726676,1381.9628663290903,16.486437548757607,
Volume_sqrt,NBEATS,ok,,,,,
Volume_sqrt,LSTM,ok,,,,,
